upid,tgtplatethickness1,tgtwidth,steelspec,discharge,rm_time,fm_time,staying_time_pre,staying_time_1,staying_time_2,staying_time_soak,in_fce_time,cooltime,discharge_rm-fm
18921311000,0.05756,2.622,SX780CF,65.21,164.974,81.458,181,125,99,69,476,0,655.101
18921312000,0.0566,2.362,SX780CF,57.452,141.607,89.035,184,120,98,73,475,0,697.44
18921313000,0.07188,2.267,SX780CF,87.256,142.804,75.323,211,91,109,57,470,0,696.236
18921314000,0.03844,3.032,SX780CF,54.44,180.524,119.093,212,90,98,71,473,0,638.687
18921315000,0.04284,2.122,B780CF,61.78,184.76,100.031,214,95,95,71,475,0,568.022
18921316000,0.0306,3.644,B780CF,61.001,207.016,134.877,205,79,112,70,467,0,461.67
18921317000,0.0428,2.372,B780CF,107.251,160.743,93.451,203,94,96,67,460,0,536.594
18921318000,0.04284,2.122,B780CF,84.722,162.48,95.268,199,105,110,55,470,0,557.242
18921319000,0.06311,2.222,B780CF,65.705,145.108,74.724,211,95,94,68,469,0,598.521
18921320000,0.05691,2.122,B780CF,57.204,147.597,74.446,201,93,112,65,472,0,626.452
18921321000,0.05964,2.492,SM490A,90.397,153.271,82.375,221,86,98,64,470,0,600.192
18921322000,0.05969,2.492,SM490A,79.857,165.369,80.106,198,95,124,52,470,0,606.866
18921323000,0.0402,2.302,1.00E+170,65.392,181.34,97.485,221,85,95,66,468,0,526.996
18921324000,0.04019,2.37,1.00E+170,66.635,173.38,90.528,200,92,109,66,468,0,492.187
18921325000,0.0402,2.302,1.00E+170,91.332,370.506,97.292,214,85,97,63,460,0,285.072
18921326000,0.04019,2.37,1.00E+170,111.27,187.386,98.02,206,89,110,65,471,0,363.799
18921327000,0.04019,2.37,1.00E+170,124.176,182.211,94.323,222,98,84,65,470,0,332.786
18922001000,0.0402,2.202,1.00E+170,144.002,258.484,92.685,208,87,108,67,471,0,238.758
18922002000,0.0402,2.302,1.00E+170,92.278,192.151,102.62,223,73,115,58,470,0,405.831
18922003000,0.04019,2.37,1.00E+170,95.14,186.039,91.017,214,100,95,67,478,0,351.454
18922004000,0.04019,2.37,1.00E+170,86.901,305.174,122.214,224,85,93,68,471,0,248.983
18922005000,0.04019,2.37,1.00E+170,209.545,199.351,96.009,211,95,94,70,471,0,261.162
18922006000,0.04019,2.37,1.00E+170,86.249,166.519,95.517,224,95,90,60,471,0,362.202
18922007000,0.04019,2.37,1.00E+170,80.208,165.652,95.671,217,96,98,66,479,0,364.413
18922008000,0.04019,2.37,1.00E+170,61.137,248.826,96.053,226,83,91,70,471,0,259.248
18922009000,0.04019,2.37,1.00E+170,127.011,190.179,97.249,211,98,88,73,471,0,256.567
18922010000,0.05022,2.197,1E0650,185.907,190.907,106.947,213,108,79,67,469,0,414.956
18922011000,0.05022,2.197,1E0650,218.146,472.467,99.589,212,96,101,59,470,0,298.177
18922012000,0.05022,2.197,1E0650,519.78,181.971,98.635,215,93,99,60,468,0,263.526
